City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Alexandria,EG,2023-08-01 17:25:48,31.2156,29.9553,84.74,65,0,9.22
235,Leh,IN,2023-08-01 17:25:48,34.1667,77.5833,69.35,34,46,5.68
236,Finschhafen,PG,2023-08-01 17:25:49,-6.6024,147.8681,77.47,88,57,9.31
237,Mirnyy,RU,2023-08-01 17:25:49,62.5353,113.9611,53.24,57,11,1.99
238,Jatibonico,CU,2023-08-01 17:25:49,21.9419,-79.17,92.25,49,14,6.76
239,Fougamou,GA,2023-08-01 17:25:49,-1.2154,10.5838,88.41,44,78,3.53
240,Hirara,JP,2023-08-01 17:25:50,24.8,125.2833,82.67,94,75,37.98
241,Mangan,IN,2023-08-01 17:25:50,27.5167,88.5333,79.29,94,94,1.66
242,Vagur,FO,2023-08-01 17:25:50,61.4732,-6.8119,50.77,86,100,16.71
243,Broken Hill,AU,2023-08-01 17:25:50,-31.95,141.4333,49.91,72,0,7.18
244,Kaitangata,NZ,2023-08-01 17:25:50,-46.2817,169.8464,41.74,75,96,20.6
245,Kargil,IN,2023-08-01 17:25:51,34.5667,76.1,61.88,51,64,5.86
246,Serchhip,IN,2023-08-01 17:25:51,23.3,92.8333,70.12,99,87,2.1
247,Talaya,RU,2023-08-01 17:25:51,61.3833,152.75,47.95,88,98,2.84
248,Sechura,PE,2023-08-01 17:25:51,-5.5569,-80.8222,79.97,58,50,8.43
249,Rajgarh,IN,2023-08-01 17:25:51,28.6333,75.3833,92.64,51,29,14.72
250,Asosa,ET,2023-08-01 17:25:52,10.0667,34.5333,60.75,98,88,1.79
251,Tame,CO,2023-08-01 17:25:52,6.461,-71.73,84.87,63,59,6.02
252,Camopi,GF,2023-08-01 17:25:52,3.1655,-52.3158,80.76,77,78,2.01
253,Twentynine Palms,US,2023-08-01 17:25:52,34.1356,-116.0542,94.14,34,85,3.0
254,Aripuana,BR,2023-08-01 17:21:44,-9.1667,-60.6333,99.88,21,12,3.85
255,Sarnia,CA,2023-08-01 17:23:47,42.9787,-82.4041,73.94,56,0,4.61
256,Suntar,RU,2023-08-01 17:25:53,62.1444,117.6319,51.37,70,17,2.37
257,Kommunisticheskiy,RU,2023-08-01 17:25:53,61.6789,64.4819,63.43,70,96,2.91
258,Caravelas,BR,2023-08-01 17:25:53,-17.7125,-39.2481,74.8,64,39,7.09
259,Zhanakorgan,KZ,2023-08-01 17:25:54,43.9098,67.2495,85.32,33,46,4.54
260,Anan,JP,2023-08-01 17:25:54,33.9167,134.65,80.38,91,17,9.78
261,Chenghai,CN,2023-08-01 17:25:54,23.4632,116.768,78.71,94,29,2.24
262,Beyneu,KZ,2023-08-01 17:25:54,45.3167,55.2,89.06,17,0,9.04
263,Kirillov,RU,2023-08-01 17:25:55,59.863,38.3813,67.68,72,99,3.4
264,Abha,SA,2023-08-01 17:21:55,18.2164,42.5053,76.82,50,20,6.91
265,Hokitika,NZ,2023-08-01 17:25:55,-42.7167,170.9667,46.22,79,100,14.03
266,Luau,AO,2023-08-01 17:25:55,-10.7073,22.2247,75.43,17,22,3.89
267,Avera,US,2023-08-01 17:25:55,33.194,-82.5271,91.9,44,1,7.11
268,Batangafo,CF,2023-08-01 17:25:56,7.3008,18.2833,71.01,96,100,3.78
269,Peleduy,RU,2023-08-01 17:25:56,59.6289,112.7406,54.99,66,98,5.3
270,Saldanha,ZA,2023-08-01 17:25:56,-33.0117,17.9442,50.05,74,48,10.2
271,Oussouye,SN,2023-08-01 17:25:56,12.485,-16.5469,77.18,84,99,5.99
